game_id,date,home_team,away_team,home_score,away_score,home_hits,away_hits,home_errors,away_errors,status,game_time,day_or_night,stadium,home_plate_umpire,inning_1_away,inning_1_home,inning_2_away,inning_2_home,inning_3_away,inning_3_home,inning_4_away,inning_4_home,inning_5_away,inning_5_home,inning_6_away,inning_6_home,inning_7_away,inning_7_home,inning_8_away,inning_8_home,inning_9_away,inning_9_home,inning_10_away,inning_10_home,inning_11_away,inning_11_home,inning_12_away,inning_12_home,inning_13_away,inning_13_home,inning_14_away,inning_14_home
746900,03/04/2024,Chicago Cubs,Colorado Rockies,9,8,10,11,2,1,Final,03/04/2024 19:40,Noche,Wrigley Field,CB Bucknor,0,0,0,4,0,0,0,0,0,1,2,3,1,0,5,1,0,,,,,,,,,,,
746407,03/04/2024,Houston Astros,Toronto Blue Jays,8,0,15,1,0,0,Final,03/04/2024 20:10,Noche,Minute Maid Park,Carlos Torres,0,0,0,0,0,1,0,1,0,2,0,1,0,3,0,0,0,,,,,,,,,,,
746163,03/04/2024,Los Angeles Dodgers,San Francisco Giants,5,4,9,5,0,0,Final,03/04/2024 22:10,Noche,Dodger Stadium,Tony Randazzo,0,0,0,1,1,2,0,1,0,0,2,0,0,1,1,0,0,,,,,,,,,,,
746816,03/04/2024,Chicago White Sox,Atlanta Braves,1,0,4,3,1,0,Final,27/06/2024 16:10,Dia,Guaranteed Rate Field,Chris Segal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
745843,03/04/2024,New York Mets,Detroit Tigers,2,1,3,5,1,0,Final,04/04/2024 12:15,Dia,Citi Field,Nic Lentz,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,
745844,04/04/2024,New York Mets,Detroit Tigers,3,6,6,9,0,0,Final,04/04/2024 12:10,Dia,Citi Field,Angel Hernandez,0,0,0,0,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,3,0,,,,,,
745843,04/04/2024,New York Mets,Detroit Tigers,2,1,3,5,1,0,Final,04/04/2024 12:15,Dia,Citi Field,Nic Lentz,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,
744870,04/04/2024,Washington Nationals,Pittsburgh Pirates,4,7,8,11,0,1,Final,04/04/2024 16:05,Dia,Nationals Park,Jansen Visconti,4,0,1,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,,,,,,,,,,
745928,04/04/2024,Minnesota Twins,Cleveland Guardians,2,4,7,7,1,1,Final,04/04/2024 16:10,Dia,Target Field,Ryan Additon,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,
745200,04/04/2024,St. Louis Cardinals,Miami Marlins,8,5,10,9,0,2,Final,04/04/2024 16:15,Dia,Busch Stadium,Bruce Dreckman,0,0,0,1,0,0,1,0,3,2,1,0,0,5,0,0,0,,,,,,,,,,,
746327,04/04/2024,Kansas City Royals,Chicago White Sox,10,1,10,8,1,1,Final,04/04/2024 19:40,Noche,Kauffman Stadium,Malachi Moore,0,0,0,1,0,0,0,1,0,0,1,0,0,8,0,0,0,,,,,,,,,,,
